Part Number,Product Name,Marketing name,Tagline,KSP,Link,Part Number,Title,CPU,GPU,OS,Office,Panel Size,Resolution,Brightness,RAM,SSD,IO Port,Weight (with Battery),Size,Expansion Slot,Include in the box,Battery,Power Supply,Security
90NX0871-M00V20,P1403CVA-S65150WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/1k31TuruXpb8O6d8nZ6z6RQJFxvplZb3M?usp=drive_link,90NX0871-M00V20,ASUS ExpertBook P1 (i5-13420H/16GB/512GB/Win 11 Home/P1403CVA),Intel® Core™ i5-13420H 2.1 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 16GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.45 kg (3.20 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M01L30,P1403CVA-S65852WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M01L30,ASUS ExpertBook P1 (Core 5 210H/8GB/512GB/Win 11 Home/P1403CVA),Intel® Core™ 5 210H 2.2 GHz,Intel® Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.45 kg (3.20 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M01UH0,P1403CVA-S65152WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M01UH0,ASUS ExpertBook P1 (Core 5 210H/16GB/512GB/Win 11 Home/P1403CVA),Intel® Core™ 5 210H 2.2 GHz,Intel® Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 16GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.45 kg (3.20 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M021V0,P1403CVA-S63852WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M021V0,ASUS ExpertBook P1 (Core 3 100U/8GB/512GB/Win 11 Home/P1403CVA),Intel® Core™ 3 100U 1.2 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.40 kg (3.09 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M029S0,P1403CVA-S63852X,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M029S0,ASUS ExpertBook P1 (Core 3 100U/8GB/512GB/Win 11 Pro/P1403CVA),Intel® Core™ 3 100U 1.2 GHz,Intel® UHD Graphics,Windows 11 Pro,1-month trial for new Microsoft 365 customers. Credit card required.,Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.40 kg (3.09 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M029U0,P1403CVA-S65852X,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M029U0,ASUS ExpertBook P1 (Core 5 210H/8GB/512GB/Win 11 Pro/P1403CVA),Intel® Core™ 5 210H 2.2 GHz,Intel® Graphics,Windows 11 Pro,1-month trial for new Microsoft 365 customers. Credit card required.,Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.45 kg (3.20 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M02B30,P1403CVA-S65152X,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M02B30,ASUS ExpertBook P1 (Core 5 210H/16GB/512GB/Win 11 Pro/P1403CVA),Intel® Core™ 5 210H 2.2 GHz,Intel® Graphics,Windows 11 Pro,1-month trial for new Microsoft 365 customers. Credit card required.,Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 16GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.45 kg (3.20 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M02E90,P1403CVA-S67852WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M02E90,ASUS ExpertBook P1 (Core 7 240H/8GB/512GB/Win 11 Home/P1403CVA),Intel® Core™ 7 240H 2.5 GHz,Intel® Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.45 kg (3.20 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0871-M02EA0,P1403CVA-S63822WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",0,90NX0871-M02EA0,ASUS ExpertBook P1 (Core 3 100U/8GB/256GB/Win 11 Home/P1403CVA),Intel® Core™ 3 100U 1.2 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"256GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.40 kg (3.09 lbs),32.45 x 21.44 x 1.97 ~ 1.97 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0881-M00T20,P1503CVA-S73850WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/17rEyrs1z5jf2jy2ysWEHeGG_DWBeqWK2?usp=drive_link,90NX0881-M00T20,ASUS ExpertBook P1 (i3-1315U/8GB/512GB/Win 11 Home/P1503CVA),Intel® Core™ i3-1315U 1.2 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 3840x2160p/30Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.62 kg (3.57 lbs),35.95 x 23.22 x 1.99 ~ 1.99 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX0881-M015S0,P1503CVA-S75150WS,ASUS ExpertBook P1,"Elevate your efficiency, anywhere","- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-Free Durability with 3-Year Warranty and Military-Grade Strength",https://drive.google.com/drive/folders/1QcDIDfPvYksNO9ikijSYknEL3OWLgjP2?usp=drive_link,90NX0881-M015S0,ASUS ExpertBook P1 (i5-13420H/16GB/512GB/Win 11 Home/P1503CVA),Intel® Core™ i5-13420H 2.1 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,FHD (1920 x 1080) 16:9,300nits,DDR5 16GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 3840x2160p/30Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.66 kg (3.66 lbs),35.95 x 23.22 x 1.99 ~ 1.99 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX08E1-M001A0,P3405CVA-LY5850WS,ASUS ExpertBook P3 Gen 1,"Productivity, leveled up","- Revolutionary 16:10 immersive display with more usable space and ultra-slim bezels
- Dual SO-DIMM and dual SSD design for easy upgrades and long-term flexibility
- Worry-free durability with a 3-year international warranty and tested military-grade toughness",https://drive.google.com/drive/folders/1wSXLfapvcIZKfwlT2SZHHBbJ7dwVMlQe?usp=drive_link,90NX08E1-M001A0,ASUS ExpertBook P3 Gen 1 (i5-13420H/8GB/512GB/Win 11 Home/P3405CVA),Intel® Core™ i5-13420H 2.1 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,WUXGA (1920 x 1200) 16:10,300nits,DDR5 8GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.42 kg (3.13 lbs),31.51 x 22.68 x 1.79 ~ 1.80 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX08E1-M001B0,P3405CVA-LY7110WS,ASUS ExpertBook P3 Gen 1,"Productivity, leveled up","- Revolutionary 16:10 immersive display with more usable space and ultra-slim bezels
- Dual SO-DIMM and dual SSD design for easy upgrades and long-term flexibility
- Worry-free durability with a 3-year international warranty and tested military-grade toughness",https://drive.google.com/drive/folders/1uABGMHKXPc0DTfZTSyuzf-zVodf0b1OK?usp=drive_link,90NX08E1-M001B0,ASUS ExpertBook P3 Gen 1 (i7-13620H/16GB/1TB/Win 11 Home/P3405CVA),Intel® Core™ i7-13620H 2.4 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,WUXGA (1920 x 1200) 16:10,300nits,DDR5 16GB,"1TB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.42 kg (3.13 lbs),31.51 x 22.68 x 1.79 ~ 1.80 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX08E1-M00DK0,P3405CVA-LY5150WS,ASUS ExpertBook P3 Gen 1,"Productivity, leveled up","- Revolutionary 16:10 immersive display with more usable space and ultra-slim bezels
- Dual SO-DIMM and dual SSD design for easy upgrades and long-term flexibility
- Worry-free durability with a 3-year international warranty and tested military-grade toughness",https://drive.google.com/drive/folders/10oCnkBVZkLE4XuMyRtXKoDN0hOR5qpEJ?usp=drive_link,90NX08E1-M00DK0,ASUS ExpertBook P3 Gen 1 (i5-13420H/16GB/512GB/Win 11 Home/P3405CVA),Intel® Core™ i5-13420H 2.1 GHz,Intel® UHD Graphics,Windows 11 Home,"Microsoft Office Home 2024

Microsoft 365 Basic",Not Found,WUXGA (1920 x 1200) 16:10,300nits,DDR5 16GB,"512GB M.2 2280 NVMe™ PCIe® 4.0 SSD
SSD Housing for storage expansion","2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.42 kg (3.13 lbs),31.51 x 22.68 x 1.79 ~ 1.80 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",FingerPrint
90NX08G1-M00HA0,B5405CVA-NZ5150X,ASUS ExpertBook B5 Gen 3,"Smart, secure AI power for businessSmart, secure AI power for business",0,0,90NX08G1-M00HA0,ASUS ExpertBook B5 Gen 3 (Core 5 120U/16GB/512GB/Win 11 Pro/B5405CVA),Intel® Core™ 5 120U 1.4 GHz,Intel® Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WQXGA(WQ) 2560X1600 16:10,400nits,DDR5 16GB,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.352 Kg,31.51 x 22.68 x 1.75 ~ 1.79 cm,2x DDR5 SO-DIMM slots,Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08G1-M00HB0,B5405CVA-NZ7110X,ASUS ExpertBook B5 Gen 3,"Smart, secure AI power for businessSmart, secure AI power for business",0,0,90NX08G1-M00HB0,ASUS ExpertBook B5 Gen 3 (i7-1355U/16GB/1TB/Win 11 Pro/B5405CVA),Intel® Core™ i7-1355U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WQXGA(WQ) 2560X1600 16:10,400nits,DDR5 16GB,1TB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.352 Kg,31.51 x 22.68 x 1.75 ~ 1.79 cm,2x DDR5 SO-DIMM slots,Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08I1-M013L0,B5405CCA-NZ5150X,ASUS ExpertBook B5 Gen 3,"Smart, secure AI power for businessSmart, secure AI power for business",0,0,90NX08I1-M013L0,ASUS ExpertBook B5 Gen 3 (U5 225H/16GB/512GB/Win 11 Pro/B5405CCA),"Intel® Core™ Ultra 5 225H 1.7 GHz 
 Intel® AI Boost NPU up to 13 TOPS","Intel® Arc™ Graphics(available for Intel® Core™ Ultra H 5/7/9 with dual channel memory)
Intel® Graphics",Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WQXGA(WQ) 2560X1600 16:10,400nits,DDR5 16GB,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.352 Kg,31.51 x 22.68 x 1.75 ~ 1.79 cm,2x DDR5 SO-DIMM slots,Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08I1-M014F0,B5405CCA-NZ7310X,ASUS ExpertBook B5 Gen 3,"Smart, secure AI power for businessSmart, secure AI power for business",0,0,90NX08I1-M014F0,ASUS ExpertBook B5 Gen 3 (U7 255H/32GB/1TB/Win 11 Pro/B5405CCA),"Intel® Core™ Ultra 7 255H 2.0 GHz 
 Intel® AI Boost NPU up to 13 TOPS","Intel® Arc™ Graphics(available for Intel® Core™ Ultra H 5/7/9 with dual channel memory)
Intel® Graphics",Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WQXGA(WQ) 2560X1600 16:10,400nits,DDR5 32GB,1TB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.352 Kg,31.51 x 22.68 x 1.75 ~ 1.79 cm,2x DDR5 SO-DIMM slots,Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08K1-M015A0,B3405CVA-LY5150X,ASUS ExpertBook B3,Primed to perform. Configured for your bussiness.,0,0,90NX08K1-M015A0,ASUS ExpertBook B3 (Core 5 120U/DDR5/512GB/Win 11 Pro/B3405CVA),Intel® Core™ 5 120U 1.4 GHz,Intel® Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WUXGA(WU) 1920X1200 16:10,300nits,16GB DDR5,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.472 Kg,31.51 x 22.68 x 1.89 ~ 1.90 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08K1-M015B0,B3405CVA-LY7150X,ASUS ExpertBook B3,Primed to perform. Configured for your bussiness.,0,0,90NX08K1-M015B0,ASUS ExpertBook B3 (i7-1355U/DDR5/512GB/Win 11 Pro/B3405CVA),Intel® Core™ i7-1355U 1.7 GHz,Intel® UHD Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WUXGA(WU) 1920X1200 16:10,300nits,16GB DDR5,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.472 Kg,31.51 x 22.68 x 1.89 ~ 1.90 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08L1-M02570,B3405CCA-LY5150X,ASUS ExpertBook B3,Primed to perform. Configured for your bussiness.,0,0,90NX08L1-M02570,ASUS ExpertBook B3 (U5 125H/DDR5/512GB/Win 11 Pro/B3405CCA),"Intel® Core™ Ultra 5 125H 1.2 GHz 
 Intel® AI Boost NPU",Intel® Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WUXGA(WU) 1920X1200 16:10,300nits,16GB DDR5,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.492 Kg,31.51 x 22.68 x 1.89 ~ 1.90 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08L1-M027J0,B3405CCA-LY7110X,ASUS ExpertBook B3,Primed to perform. Configured for your bussiness.,0,0,90NX08L1-M027J0,ASUS ExpertBook B3 (U7 155H/DDR5/1TB/Win 11 Pro/B3405CCA),"Intel® Core™ Ultra 7 155H 1.4 GHz 
 Intel® AI Boost NPU",Intel® Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WUXGA(WU) 1920X1200 16:10,300nits,16GB DDR5,1TB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",1.492 Kg,31.51 x 22.68 x 1.89 ~ 1.90 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08L1-M032P0,B3405CCA-LY5152X,ASUS ExpertBook B3,Primed to perform. Configured for your bussiness.,0,0,90NX08L1-M032P0,ASUS ExpertBook B3 (U5 225H/DDR5/512GB/Win 11 Pro/B3405CCA),Intel® Core™ Ultra 5 225H 1.7 GHz ; Intel® AI Boost NPU up to 13 TOPS,Intel® Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WUXGA (1920 x 1200) 16:10,300nits,16GB DDR5,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader
Smart card reader",1.49 kg,31.51 x 22.68 x 1.89 ~ 1.90 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,#VALUE!,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX08L1-M055T0,B3405CCA-LY7150X,ASUS ExpertBook B3,Primed to perform. Configured for your bussiness.,0,0,90NX08L1-M055T0,ASUS ExpertBook B3 (U7 255H/DDR5/512GB/Win 11 Pro/B3405CCA),Intel® Core™ Ultra 7 255H 2.0 GHz ; Intel® AI Boost NPU up to 13 TOPS,Intel® Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",WUXGA (1920 x 1200) 16:10,300nits,16GB DDR5,512GB 2280 PCIE G4 SSD,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader
Smart card reader",1.49 kg,31.51 x 22.68 x 1.89 ~ 1.90 cm,"2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,#VALUE!,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
