Part Number,Product Name,Marketing name,Tagline,KSP,Link,Part Number,Title,CPU,GPU,OS,Office,Panel Size,Resolution,Brightness,RAM,SSD,IO Port,Weight (with Battery),Size,Expansion Slot,Include in the box,Battery,Power Supply,Security
90NX0571-M00M60,B1400CBA-EK7150X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,0,0,90NX0571-M00M60,ASUS ExpertBook B1 (i7-1255U/16GB/512GB/Win 11 Pro/B1400CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,220nits,DDR4 16GB,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 1.4
1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Micro SD card reader",0.185 Kg,32.34 x 21.56 x 1.92 ~ 1.92 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4
1x STD 2.5” SATA HDD",Backpack,42WHrs,"ø4.5, 65W AC Adapter",W/FINGERPRINT
90NX0571-M01TK0,B1400CBA-EB7111X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,0,0,90NX0571-M01TK0,ASUS ExpertBook B1 (i7-1255U/16GB/1TB/Win 11 Pro/B1400CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,250nits,DDR4 16GB,1TB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 1.4
1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Micro SD card reader",0.185 Kg,32.34 x 21.56 x 1.92 ~ 1.92 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4
1x STD 2.5” SATA HDD","Backpack
Wireless optical mouse",42WHrs,"ø4.5, 65W AC Adapter",W/FINGERPRINT
90NX0571-M01TR0,B1400CBA-EB5111X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,0,0,90NX0571-M01TR0,ASUS ExpertBook B1 (i5-1235U/16GB/1TB/Win 11 Pro/B1400CBA),Intel® Core™ i5-1235U 1.3 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,250nits,DDR4 16GB,1TB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 1.4
1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Micro SD card reader",0.185 Kg,32.34 x 21.56 x 1.92 ~ 1.92 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4
1x STD 2.5” SATA HDD","Backpack
Wireless optical mouse",42WHrs,"ø4.5, 65W AC Adapter",W/FINGERPRINT
90NX05J1-M004R0,B5402FBA-HY7110WS,ASUS ExpertBook B5 Gen 1,Portable power for business on the go,0,0,90NX05J1-M004R0,ASUS ExpertBook B5 Gen 1 (i7-1260P/16GB/1TB/Win 11 Home/B5402FBA),Intel® Core™ i7-1260P 2.1 GHz,Intel® UHD Graphics,Windows 11 Home,OFFICE HOME&STUDENT(ID),"14""",FHD 1920X1080 16:9(1W),400nits,DDR5 16GB,1TB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0a
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",0.227 Kg,32.34 x 22.31 x 1.79 ~ 1.80 cm,"1x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 3.0x4
1x M.2 2280 PCIe 4.0x4","Backpack
MPP 2.0 garaged stylus",63WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX05J1-M004S0,B5402FBA-HY7110X,ASUS ExpertBook B5 Gen 1,Portable power for business on the go,0,0,90NX05J1-M004S0,ASUS ExpertBook B5 Gen 1 (i7-1260P/16GB/1TB/Win 11 Pro/B5402FBA),Intel® Core™ i7-1260P 2.1 GHz,Intel® UHD Graphics,Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9(1W),400nits,DDR5 16GB,1TB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0a
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",0.227 Kg,32.34 x 22.31 x 1.79 ~ 1.80 cm,"1x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 3.0x4
1x M.2 2280 PCIe 4.0x4","Backpack
MPP 2.0 garaged stylus",63WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX05M1-M002Y0,B5402CBA-KI7110X,ASUS ExpertBook B5 Gen 1,Portable power for business on the go,0,0,90NX05M1-M002Y0,ASUS ExpertBook B5 Gen 1 (i7-1260P/16GB/1TB/Win 11 Pro/B5402CBA),Intel® Core™ i7-1260P 2.1 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,400nits,DDR5 16GB,1TB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0a
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
Micro SD card reader",0.227 Kg,32.34 x 22.31 x 1.79 ~ 1.80 cm,"1x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 3.0x4
1x M.2 2280 PCIe 4.0x4",Backpack,63WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX05V1-M04CZ0,B1402CBA-NK3852WS,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Full-Function USB-C — power and display through one port, alongside HDMI, RJ-45, and USB-A
- Easy upgrades: 1 onboard + 1 SO-DIMM up to 48 GB and PCIe 4.0 M.2 up to 2 TB
- Worry-Free Durability with 3-Year Warranty and Military-Grade Strength",https://drive.google.com/drive/folders/1Bd3DommxNf0PsEU4jI7fX-ksSIn5bw4K?usp=drive_link,90NX05V1-M04CZ0,ASUS ExpertBook B1 (i3-1215U/DDR4/512GB/Win 11 Home/B1402CBA),Intel® Core™ i3-1215U 1.2 GHz,Intel® UHD Graphics,Windows 11 Home,OFFICE HOME&STUDENT(ID),"14""",FHD 1920X1080 16:9,250nits,8GB DDR4,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.499 Kg,32.69 x 21.45 x 1.99 ~ 1.99 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX05V1-M04D10,B1402CBA-NK5852WS,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Full-Function USB-C — power and display through one port, alongside HDMI, RJ-45, and USB-A
- Easy upgrades: 1 onboard + 1 SO-DIMM up to 48 GB and PCIe 4.0 M.2 up to 2 TB
- Worry-Free Durability with 3-Year Warranty and Military-Grade Strength",https://drive.google.com/drive/folders/1X1ttx9BIbq1_ZwUASoE0V5Ar9dw5vSJo?usp=drive_link,90NX05V1-M04D10,ASUS ExpertBook B1 (i5-1235U/DDR4/512GB/Win 11 Home/B1402CBA),Intel® Core™ i5-1235U 1.3 GHz,Intel® UHD Graphics,Windows 11 Home,OFFICE HOME&STUDENT(ID),"14""",FHD 1920X1080 16:9,250nits,8GB DDR4,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.499 Kg,32.69 x 21.45 x 1.99 ~ 1.99 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX05V1-M04D20,B1402CBA-NK7852WS,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Full-Function USB-C — power and display through one port, alongside HDMI, RJ-45, and USB-A
- Easy upgrades: 1 onboard + 1 SO-DIMM up to 48 GB and PCIe 4.0 M.2 up to 2 TB
- Worry-Free Durability with 3-Year Warranty and Military-Grade Strength",https://drive.google.com/drive/folders/1shEl5F4vtNfqY-0r2xuASQ40N9-H7jnX?usp=drive_link,90NX05V1-M04D20,ASUS ExpertBook B1 (i7-1255U/DDR4/512GB/Win 11 Home/B1402CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel® UHD Graphics,Windows 11 Home,OFFICE HOME&STUDENT(ID),"14""",FHD 1920X1080 16:9,250nits,8GB DDR4,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.499 Kg,32.69 x 21.45 x 1.99 ~ 1.99 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4",Backpack,42WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX05V1-M04JL0,B1402CBA-NK5853WS,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,0,0,90NX05V1-M04JL0,ASUS ExpertBook B1 (i5-1235U/DDR4/512GB/Win 11 Home/B1402CBA),Intel® Core™ i5-1235U 1.3 GHz,Intel® UHD Graphics,Windows 11 Home,OFFICE HOME&STUDENT(ID),"14""",FHD 1920X1080 16:9,250nits,8GB DDR4,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.499 Kg,32.69 x 21.45 x 1.99 ~ 1.99 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4",0,42WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
